# Golden baseline for the range-based river solver (quality harness).
# Regenerate intentionally with: make river-baseline
Qs9h2d7c8d|1000|500|0.5,0.75,1.0|2.5,3.0|dcfr|300|500.329711|499.670289|0.020076
Qs9h2d7c8d|1000|500|0.5,0.75,1.0|2.5,3.0|dcfr|3000|500.330578|499.669422|0.000055
7h8h9c2c2s|1000|500|0.5,0.75,1.0|2.5,3.0|dcfr|300|549.506632|450.493368|0.016380
7h8h9c2c2s|1000|500|0.5,0.75,1.0|2.5,3.0|dcfr|3000|549.506931|450.493069|0.000216
KdKc4cQh3s|1000|500|0.5,0.75,1.0|2.5,3.0|dcfr|300|411.228786|588.771214|0.021232
KdKc4cQh3s|1000|500|0.5,0.75,1.0|2.5,3.0|dcfr|3000|411.231370|588.768630|0.000420
Qs9h2d7c8d|200|900|0.33,0.6,1.0|2.5,3.0|dcfr|300|100.219291|99.780709|0.155546
Qs9h2d7c8d|200|900|0.33,0.6,1.0|2.5,3.0|dcfr|3000|100.228026|99.771974|0.003318
KdKc4cQh3s|200|900|0.33,0.6,1.0|2.5,3.0|dcfr|300|83.629831|116.370169|0.188243
KdKc4cQh3s|200|900|0.33,0.6,1.0|2.5,3.0|dcfr|3000|83.627652|116.372348|0.002262
7h8h9c2c2s|300|1500|0.25,0.5,0.75,1.25|2.5,3.0|dcfr|300|163.076206|136.923794|0.464770
7h8h9c2c2s|300|1500|0.25,0.5,0.75,1.25|2.5,3.0|dcfr|3000|163.077783|136.922217|0.010328
